InvoiceValue,IGST,CGST,SGST,InputTaxCredit,Turnover,InvoiceCount,BusinessAge,FilingDelay,Fraudulent
267955,53316.09,33699.17,34524.11,12596.25,33762330,160,15,85,1
103855,24212.27,7987.61,9259.52,26993.96,22536535,185,9,59,1
236296,52794.5,18547.78,23200.55,16489.89,52221416,148,21,47,0
214676,12508.29,23702.36,28736.63,56094.79,57533168,85,6,50,1
185279,26085.23,9788.31,11056.5,31617.15,31867988,83,6,83,1
347949,91888.35,40147.99,44400.7,92518.9,81768015,114,8,51,1
422409,33335.07,52894.26,27176.81,26390.86,30835857,96,26,76,1
465648,102224.73,40681.21,43560.22,108668.38,118740240,158,11,51,0
259295,71087.31,30814.38,18061.99,54606.39,7000965,87,19,83,1
486732,30180.15,31985.58,50749.25,83728.29,20929476,187,16,53,0
393252,81365.64,31068.26,39432.01,97119.27,74717880,190,9,40,0
157230,24791.31,21648.6,13238.87,31684.56,31917690,67,23,41,0
347122,63596.33,48169.96,44326.55,92186.28,69771522,31,11,21,1
385181,26819.58,37029.17,42132.33,48801.43,29273756,66,16,38,0
150003,8983.92,20113.04,17236.61,27777.33,32700654,54,29,22,0
131023,26647.37,12715.23,8327.74,34559.71,23060048,10,6,47,1
3247,777.21,247.56,420.44,260.24,827985,166,27,32,0
124355,28584.68,9204.87,8087.26,19400.32,31586170,83,17,40,0
452866,79285.66,60528.04,31723.56,130881.77,79251550,159,16,29,1
66225,4832.4,4339.07,4074.49,10106.5,14569500,29,20,77,1
130481,27172.7,13330.84,11695.32,11846.66,18528302,153,21,46,0
85154,8995.2,8515.17,11060.98,10073.83,17541724,32,28,56,0
429489,111472.07,50063.79,31232.56,115027.27,24910362,17,18,71,1
381990,92747.57,36263.02,31948.81,109771.42,27885270,115,1,56,1
67935,14480.89,5061.55,8569.73,19431.46,8220135,45,18,61,1
319530,85708.99,20847.95,33743.45,68923.86,61988820,49,8,85,1
329447,18853.27,34879.77,38757.95,53597.25,37227511,87,26,56,0
32051,7029.62,3676.54,2219.85,2280.52,7115322,146,22,67,1
378860,47719.63,38362.19,43373.44,20648.58,5304040,75,10,71,1
274038,70810.09,31912.17,19315.56,10066.69,35076864,123,2,85,1
331736,36933.93,20812.09,46064.28,8280.19,85587888,124,9,24,0
4390,951.39,568.16,440.71,1167.18,772640,52,24,88,1
42106,10604.77,4312.31,4741.45,10380.99,10568606,148,4,39,0
489992,29194.25,30093.33,29721.02,87703.66,141607688,190,11,16,0
257340,36403.04,23565.46,18672.34,77110.0,63562980,141,10,79,1
473754,106751.5,59707.81,29645.94,135898.5,101383356,88,14,47,1
349957,54114.32,45767.59,29786.72,71191.93,3499570,171,7,38,1
142199,15850.65,10496.91,10746.3,21341.35,25595820,84,19,14,0
271436,27294.31,30947.48,31476.53,16994.01,47772736,106,6,16,0
240431,19294.4,14185.11,14373.88,39518.75,64195077,92,16,34,0
240129,59345.43,12731.43,28259.66,15408.65,17289288,99,19,32,0
205541,37476.65,20643.7,11122.53,27042.28,57757021,21,26,17,0
174573,11795.64,19645.48,11902.67,49568.51,8030358,6,29,29,1
208124,28719.75,25312.21,25240.62,24091.21,5203100,199,19,86,1
417613,56201.83,33667.74,48798.04,26217.93,109832219,53,13,36,0
68648,6301.89,3472.72,6375.3,12567.46,2471328,87,12,6,0
253301,38037.39,23596.69,13804.51,47788.27,30396120,180,27,73,1
124743,15765.38,6415.14,13084.35,9264.06,30187806,197,25,79,1
252495,32474.61,14715.06,21867.37,18948.3,18432135,86,22,27,0
382818,84210.81,30396.52,30046.44,113725.25,40578708,137,15,86,1
155055,15714.91,13853.46,16689.65,13663.25,42795180,96,8,17,0
387002,76482.35,29084.07,34557.46,98567.0,93267482,174,4,46,1
49055,8891.19,5021.66,2860.78,7441.19,2796135,113,20,22,0
257008,46431.39,14130.68,34036.99,36442.96,56284752,71,8,19,0
279803,56657.78,17631.0,33594.37,28704.84,23783255,158,23,30,0
373154,65722.82,42007.16,20551.1,88314.81,95527424,43,21,13,0
107030,26996.04,6720.7,10409.28,28532.6,8241310,187,16,22,1
80577,16549.18,8668.45,4633.5,7502.98,5882121,166,16,1,0
298564,52488.01,16397.62,37426.81,13921.16,57025724,34,2,28,0
485783,116998.66,42100.09,51090.41,28339.35,43234687,46,22,49,0
460837,87288.85,30399.97,30194.23,111515.64,97697444,32,17,72,1
201051,23515.56,12036.37,10427.86,28555.58,38400741,144,23,58,0
483191,47174.82,48818.21,25532.92,27511.01,107751593,167,25,32,0
282101,23988.57,37674.65,26986.6,32520.8,36391029,1,5,47,0
460273,118232.49,25283.18,53434.76,75478.3,115068250,185,5,43,0
208761,44535.22,18358.42,12708.46,53980.27,44048571,20,12,11,1
240681,63924.16,27360.18,16827.35,48061.13,15162903,170,7,82,1
341597,64478.86,31304.6,27141.04,23668.98,52605938,72,5,41,0
315639,50149.42,38692.49,21976.97,20338.75,29985705,162,26,83,1
172329,10983.35,11402.68,14685.93,23342.58,5342199,178,28,34,0
272336,55686.65,37136.68,27333.1,11180.48,66722320,11,28,40,0
439474,80822.79,37207.91,49064.77,101765.31,16700012,107,4,84,1
466125,129465.31,37635.52,63737.82,61718.25,89496000,43,17,54,0
202783,21293.54,26101.12,27127.48,23532.29,34270327,10,6,12,0
197269,33944.0,19874.46,19985.6,32066.14,5326263,8,14,38,0
37565,7502.49,3624.27,4360.3,8208.25,1765555,19,9,88,1
223665,44342.92,25817.21,30324.16,40129.34,24603150,193,4,65,1
99799,17873.75,10197.97,5739.69,24418.1,29839901,55,26,34,0
426322,97497.05,27551.66,21532.3,83653.55,77590604,180,11,71,1
12034,1169.05,1331.9,633.97,2895.76,914584,3,20,32,0
488379,105926.6,30285.46,49180.47,105049.85,97675800,53,21,88,1
40897,7874.27,5010.99,4852.63,3029.42,2126644,44,16,84,1
258250,66137.12,35916.45,21444.24,8950.75,34089000,96,16,35,0
354031,86686.16,29726.17,35074.39,96633.15,101606897,48,16,12,1
263660,32294.08,23736.79,25436.06,75086.08,54050300,54,6,55,1
483505,54894.54,26195.83,28299.25,108083.21,64789670,144,15,45,0
56091,15468.79,2873.88,4427.99,12495.82,5889555,158,3,72,1
221384,37916.66,29428.07,11456.44,21173.43,36749744,92,9,45,0
23747,6138.05,1462.25,1423.95,4081.72,1163603,156,1,43,0
24800,2174.78,2234.98,3052.07,7386.11,4513600,144,11,45,1
467781,92549.7,57715.72,58307.6,121492.18,85136142,51,22,73,1
83298,19680.64,10831.96,10176.95,8765.48,10745442,161,6,68,1
9768,2616.86,945.01,1127.36,1018.73,2754576,153,24,30,0
349451,44585.84,35243.16,42422.71,54305.26,94351770,18,5,23,0
274829,59568.0,30305.82,30337.94,36631.31,79700410,126,25,31,0
195276,33963.77,26659.94,21536.01,24199.16,25971708,154,25,66,1
218351,13962.38,22760.97,24032.27,42699.0,62666737,6,28,15,0
432815,90328.46,43434.19,41664.44,10049.05,44147130,166,18,56,0
402287,83966.23,20640.57,33269.64,94028.59,17700628,172,21,83,1
237084,62599.56,13581.47,27434.79,53869.0,32480508,195,12,23,0
38544,6335.93,3929.39,2963.19,9732.02,1117776,171,7,33,1
313858,32314.1,42139.09,31028.38,80224.05,84741660,134,2,51,1
454944,27410.23,58233.84,40490.93,81249.32,80070144,78,7,47,0
377396,54947.99,52243.72,28265.45,89979.02,92462020,192,9,86,1
49484,5910.41,4824.94,6815.04,7812.07,2028844,82,24,52,0
303418,68284.32,36687.42,22236.79,86907.52,72820320,80,26,54,1
265212,34870.49,33320.18,20643.14,19465.39,53042400,88,25,37,0
120651,32369.02,13069.26,7787.16,33344.65,18580254,13,20,1,1
456308,123810.66,36727.09,56613.34,42157.61,50193880,65,8,68,1
461279,88938.73,42575.16,47416.27,22493.14,40592552,166,9,81,1
134267,35391.69,17080.45,14121.33,19193.37,22691123,64,10,52,0
124875,28096.44,9599.06,15465.83,23998.08,32967000,14,12,49,0
179762,31598.15,23932.95,14536.05,15221.74,51771456,145,2,28,0
136830,12515.95,9671.5,9226.04,24030.49,26955510,121,10,73,1
481254,74824.18,56526.4,32656.2,118489.61,105394626,77,3,54,0
302148,54084.83,32254.4,35029.77,27792.72,75537000,13,1,60,0
164731,40970.44,19349.95,17341.29,30061.8,10707515,73,17,49,0
14486,2328.0,1294.49,993.31,1666.0,2114956,134,26,15,0
62358,15992.66,8352.09,3932.04,10497.04,7171170,6,22,86,1
129812,26624.48,13879.82,7900.6,26836.99,10125336,121,1,69,1
13166,1073.16,999.91,1402.2,1555.15,2620034,94,5,43,0
301304,84017.33,32378.42,15068.42,89925.75,60562104,165,14,83,1
135133,23143.35,10244.89,6979.45,24034.36,38783171,57,6,15,0
289498,40566.6,22125.44,24624.64,72620.35,11869418,53,9,27,1
327149,65951.98,28122.99,36713.15,72966.61,60195416,46,22,56,0
104988,7878.87,13303.95,11816.77,27169.37,28031796,78,14,25,1
183823,36103.55,17468.11,16307.06,12622.07,24264636,132,4,85,1
285306,46959.74,31697.8,32010.37,23484.97,26818764,34,1,10,0
271036,38903.16,23113.16,26263.02,42410.39,60983100,194,6,0,0
31035,8354.45,2288.04,4280.47,8027.27,6982875,191,7,68,1
472319,80381.2,64196.47,30521.92,35579.72,10863337,189,21,42,0
376213,37770.66,39247.41,39148.75,109815.99,17305798,42,6,45,1
314900,48986.35,42214.11,29667.2,17548.95,11336400,78,26,35,0
351779,91975.82,24029.03,23745.78,24280.43,56636419,64,24,65,1
390122,35306.81,24663.7,45839.0,26070.08,28478906,145,1,56,0
297866,29551.32,37836.15,22279.1,54831.67,23531414,189,8,5,0
77873,4127.02,8665.91,6568.89,21563.93,12693299,118,12,61,1
473291,25209.24,31612.08,39630.9,43273.56,124002242,30,29,26,0
124184,29898.55,9219.71,8938.57,21713.61,34771520,171,11,25,0
490070,107025.5,59817.82,43500.32,33920.83,18622660,93,2,12,0
478367,62981.53,43458.77,44297.32,94103.56,39704461,7,2,75,1
457051,96260.23,50434.96,53465.8,24913.38,133915943,174,24,17,0
273609,38550.79,21519.81,32520.12,43111.75,18605412,23,2,37,0
25038,6739.38,2110.97,1609.19,5094.0,6309576,36,8,5,0
370710,100989.6,51589.53,38312.7,67526.98,58572180,142,21,27,0
202164,28372.22,14613.53,26414.3,11968.14,3841116,148,25,88,1
491734,121198.19,47000.46,29401.17,32053.46,69334494,184,25,4,0
375896,85633.05,47361.47,34793.78,78182.41,26688616,116,24,58,0
139682,16943.42,9991.47,16417.07,34430.86,37853822,81,25,78,1
473025,48896.2,41327.83,49683.81,129732.23,107376675,160,7,72,1
158838,24682.47,16734.89,9379.81,39361.84,38279958,25,16,44,0
184564,42396.24,17221.1,15816.13,54021.64,14949684,115,24,52,1
214520,58100.29,19597.52,20519.17,28812.29,5363000,94,22,1,0
99306,22405.74,8205.25,13865.71,11194.41,4667382,49,9,48,0
400626,98833.48,41183.62,26471.25,11174.07,74516436,185,16,72,1
373633,70506.34,39677.41,51717.58,54539.52,34374236,27,2,89,1
91482,22151.8,9952.88,7671.08,18514.5,2378532,155,3,86,1
122126,28139.88,6879.74,8308.09,30325.65,20150790,174,2,62,1
119676,16360.51,12780.57,10444.1,11355.76,21661356,95,22,69,1
393922,69707.56,53491.2,41464.06,64526.61,31119838,173,19,57,0
218626,51397.49,21575.93,15132.15,44897.62,17490080,154,27,3,0
219469,13298.3,25101.56,16730.02,38286.1,57939816,14,17,29,0
122909,28989.1,12303.92,15598.28,11888.47,17207260,122,20,56,0
23919,2174.58,3035.96,3346.53,5811.34,1387302,48,21,46,0
444352,74818.76,59393.19,34941.86,30456.37,13330560,128,12,17,0
254118,59947.29,16919.12,16110.35,69474.43,58193022,85,11,43,1
245810,26640.6,21955.11,29837.74,70480.39,48178760,92,20,51,1
50515,5381.65,4309.66,5255.63,6181.04,2071115,15,22,48,0
249050,35523.45,21535.19,14702.94,31213.66,52798600,51,19,29,0
122596,31356.11,7514.79,16576.14,27966.34,34939860,54,26,51,0
107559,5388.9,13254.0,6133.49,15893.0,26997309,139,6,36,0
185840,47820.0,9890.21,19751.46,5205.53,4646000,108,10,62,1
111187,9492.66,10845.22,9801.62,30861.67,20236034,75,14,11,1
350583,97363.86,38413.05,35092.01,49295.51,51185118,28,1,16,0
411857,111042.75,28283.15,28496.09,31704.19,77429116,183,15,33,0
211928,34708.57,27874.15,23721.09,37211.58,14834960,197,6,27,0
106378,17863.6,13347.19,14507.28,8647.86,12020714,154,13,3,0
203482,32711.02,18801.24,18569.43,15807.74,41510328,128,24,45,0
449760,88221.34,39130.65,43656.51,77720.67,119186400,70,26,13,0
198786,14087.17,14171.68,14229.71,25741.17,16896810,160,14,12,0
249502,14346.9,28867.23,32502.16,45019.67,69860560,176,13,57,0
250896,15874.61,15519.66,34474.54,75045.78,47670240,96,24,48,1
165399,25174.39,18395.91,19974.69,43090.59,23321259,140,16,49,1
449536,50966.61,56561.13,44436.46,9956.24,71925760,198,1,66,1
325267,62799.01,22951.63,44272.65,11109.69,53343788,103,14,20,0
475450,132299.54,60847.36,30355.82,90726.44,116009800,189,13,79,1
338094,46945.82,17918.67,31464.44,66047.24,86890158,162,23,50,0
356070,64798.86,47054.96,35031.77,94676.68,61956180,87,10,37,1
380489,55394.97,23077.65,35869.64,74627.59,81424646,105,10,25,0
416015,101870.63,44978.85,50844.37,34845.45,72386610,109,28,5,0
44085,11352.52,3196.49,4864.17,6664.97,9786870,81,4,17,0
371869,93633.56,46591.36,22832.48,91671.63,97801547,45,14,5,0
64544,17691.87,6203.13,5239.72,17968.47,10714304,112,12,40,1
436273,24575.0,27123.84,35127.36,37666.17,81146778,60,22,56,0
442796,107669.26,44894.75,44681.17,75757.67,37194864,193,6,49,0
110056,24532.32,9542.89,8389.71,7098.58,20580472,71,15,24,0
3193,327.6,349.73,193.35,508.2,935549,13,5,47,0
488719,131931.46,63226.21,53187.99,22105.72,69398098,78,10,23,0
357903,30092.81,31082.09,45308.13,101531.3,47959002,176,9,29,1
243807,50296.53,18551.09,32632.28,48433.68,33157752,125,27,86,1
200735,20419.72,10298.98,27607.5,52026.64,46971990,177,10,44,1
26439,3945.16,2689.79,3180.63,7919.08,687414,98,24,42,1
442641,95347.87,38157.75,27697.47,31492.35,112873455,91,12,71,1
436657,78408.17,36556.24,55359.4,93601.86,63751922,186,22,55,0
153406,22754.01,10196.0,13192.36,41167.45,34669756,89,4,72,1
18547,2319.45,1645.21,2145.74,3361.88,3802135,99,29,69,1
288749,70201.15,40020.55,28243.73,57494.25,60637290,73,4,32,0
76266,6335.97,5857.07,9500.8,10230.92,16473456,70,13,44,0
409423,60972.77,42569.1,36150.22,85541.99,10235575,189,25,6,0
415692,107192.1,49834.74,23096.45,54356.64,9145224,154,14,17,0
44762,10946.34,5256.14,4481.31,6868.89,3894294,39,12,69,1
387761,55146.05,30861.78,25365.83,18928.66,86470703,186,13,44,0
286420,64591.98,30067.63,39209.92,6354.61,36661760,27,20,36,0
161652,38687.69,20758.35,15749.22,5729.32,30713880,40,13,20,0
128876,32791.74,6622.97,12864.44,9524.72,18815896,123,23,89,1
460558,80706.49,41089.18,60634.26,68093.07,86584904,31,22,78,1
455089,44155.47,31940.24,48336.22,11776.95,98754313,131,2,43,0
138348,15041.35,11756.39,10686.78,8807.55,8715924,15,21,29,0
93287,11008.78,8156.93,7150.31,22277.35,8209256,182,19,10,0
128448,23965.13,15054.16,12220.81,29980.62,35965440,70,9,7,0
55516,3194.74,3244.58,7105.76,13386.27,7050532,11,10,4,0
403190,79142.07,38759.68,48997.92,112099.51,46366850,30,17,7,1
499546,66839.99,50343.01,68261.29,26645.72,56948244,35,10,4,0
451769,53266.1,42680.51,25511.28,29671.81,57374663,112,20,9,0
22459,5666.05,2602.29,1665.32,2546.74,5345242,43,13,14,0
137102,21360.57,11590.77,7844.8,37872.99,21525014,189,20,55,1
226428,16271.61,30578.43,26627.28,53693.72,36002052,168,25,54,0
381745,91676.73,35640.59,23925.88,42279.77,101162425,93,1,2,0
266392,16238.59,27014.61,15714.4,11864.57,24241672,170,2,40,0
229076,49744.39,28473.64,23033.71,44116.92,5726900,170,17,9,0
491814,112132.82,36773.55,42804.35,45202.31,99346428,119,13,6,0
14045,1841.28,797.31,1606.17,2369.71,3089900,3,17,62,1
390303,93556.1,44377.67,36622.67,110730.89,32395149,90,28,62,1
459915,77542.43,42988.75,40601.35,82937.77,131535690,78,13,87,1
166338,26041.47,21737.95,14686.82,46354.02,11643660,83,17,25,1
336174,20319.28,46540.33,43187.9,43719.72,11093742,85,19,33,0
356201,41571.05,30604.73,30480.23,70292.13,11398432,124,27,71,1
61587,16267.12,5382.06,4927.31,16646.3,16443729,149,14,38,1
489555,68596.21,42452.56,39393.59,90389.7,101337885,77,20,59,0
69340,12185.89,5492.41,4693.91,13325.18,4299080,105,10,68,1
118951,20502.99,14315.97,15161.73,26236.57,17604748,53,2,25,0
448100,83256.6,53014.54,28318.47,119638.3,125468000,44,14,61,1
313649,20106.82,29193.83,41331.09,14017.1,65866290,46,17,9,0
440292,58691.16,23784.36,33247.37,50334.46,76170516,37,5,53,0
39853,8620.98,3102.97,5218.69,5234.76,4025153,38,22,30,0
193575,18608.14,14771.18,23456.23,53178.67,6194400,109,18,37,1
214783,20795.94,26417.85,21989.24,61789.25,20833951,109,3,24,1
315377,16500.79,18254.59,34771.04,16937.8,60237007,88,16,76,1
65818,9913.56,8063.41,5221.08,3511.4,19218856,166,26,64,1
241525,61112.81,26622.46,24558.4,68052.4,7245750,11,19,49,1
483190,29927.44,56011.25,36875.25,49679.73,28025020,93,18,23,0
417380,39215.9,37104.74,35980.06,36607.58,83058620,173,20,26,0
67672,8209.93,7523.46,8040.76,2028.43,14481808,64,5,81,1
217188,47411.42,22764.04,15627.53,21103.48,11510964,172,8,49,0
257451,50806.97,30690.27,32309.11,55142.76,35270787,126,6,49,0
93764,13658.33,8458.38,7860.19,13060.4,18565272,112,15,14,0
246958,55463.27,22857.03,24176.03,40679.84,44205482,105,25,16,0
289380,55044.46,31230.43,39001.61,80112.76,83341440,62,3,28,1
225781,57820.12,13485.22,25132.36,11766.16,47414010,61,26,4,0
496757,118300.77,44341.52,53701.6,19844.15,66565438,90,9,10,0
113359,12259.45,15584.09,12927.99,29307.9,2833975,12,27,79,1
374825,42141.9,20008.05,49713.05,88818.39,106075475,137,11,51,0
394570,31104.74,30950.24,28553.54,37028.65,11442530,195,20,33,0
352728,44973.49,27607.98,37104.06,39077.17,9876384,74,24,80,1
432339,121009.57,46265.36,37196.48,46207.44,9511458,107,26,32,0
270036,38702.31,16073.09,13789.92,54381.6,7020936,130,23,48,0
318324,32059.15,33923.46,19505.97,11822.31,68439660,136,14,30,0
257926,58129.06,15102.5,20440.45,40502.75,10059114,116,23,17,0
178289,31159.27,10438.08,17980.45,10248.84,9271028,43,9,88,1
218664,18457.06,25263.67,28280.41,54562.53,22303728,146,10,4,0
313503,43125.04,24820.71,37996.65,39684.98,23512725,180,15,29,0
126157,18334.15,17405.64,12590.47,21159.08,16148096,39,18,44,0
235667,52643.49,12575.61,13350.14,6647.91,19089027,31,21,86,1
157881,8644.68,14218.7,11956.58,5733.29,26997651,142,19,37,0
481171,53830.77,28957.95,39939.01,100572.13,133765538,64,7,81,1
195306,33015.92,15941.68,20693.56,45837.49,44334462,103,19,28,0
70967,7936.58,9924.03,3963.02,15528.29,18664321,97,5,35,0
184234,35840.85,23949.65,18002.87,41704.17,12527912,44,21,8,0
99006,15923.09,5380.9,12982.84,4880.36,4059246,188,18,22,0
110251,14684.7,11101.51,12512.27,23612.04,14222379,97,27,2,0
381550,102376.73,41323.39,46448.72,27047.82,4197050,2,1,85,1
406404,79409.99,27984.21,45253.41,19281.56,51613308,160,12,55,0
287986,23006.2,18160.25,19753.83,66814.2,13247356,36,6,39,0
168729,30172.3,22170.03,10114.21,45393.79,17885274,55,13,55,1
461579,105963.92,63325.63,57537.74,101860.69,122780014,114,17,57,0
368952,78569.3,51384.08,41542.3,90600.06,50546424,87,9,30,0
445799,39934.91,53976.7,45362.52,132627.29,73556835,191,26,85,1
106581,29166.59,11693.55,7144.71,6153.1,16413474,69,21,10,0
459449,70400.06,37268.54,47921.01,133351.73,30323634,111,1,41,1
89545,7752.43,5858.56,4729.67,16864.49,7074055,80,12,2,0
35198,3218.68,2010.1,2136.36,8718.93,1865494,40,24,56,0
110578,8027.3,12428.61,8632.84,22341.99,24437738,24,1,13,0
343267,80602.24,41406.62,30872.21,61654.39,63161128,117,4,45,0
23171,1808.89,2882.03,1409.97,5028.42,3475650,186,7,18,0
418900,33000.44,55394.85,25466.86,45941.78,35606500,104,20,59,0
356028,87443.49,45996.56,41060.86,99259.19,59456676,156,28,30,1
435823,56334.02,61005.07,44137.86,22785.66,40967362,62,5,35,0
86702,4950.45,6239.58,8499.98,9454.74,2340954,153,23,31,0
52163,3230.76,6191.63,4732.18,1498.41,15283759,7,20,62,1
16208,1340.39,1665.88,2234.9,1555.49,826608,38,5,25,0
354550,35128.98,26063.7,19316.6,28753.89,50700650,199,7,64,1
312455,63423.25,43234.86,20702.16,10591.17,34682505,119,17,1,0
134383,11581.8,17578.75,14550.41,21191.76,19619918,86,12,69,1
318894,24663.62,19633.16,19858.46,48222.54,73664514,86,15,44,0
113047,25535.67,5918.49,11648.85,4721.83,26905186,91,3,77,1
465798,95182.43,52145.98,47091.48,43467.41,59622144,121,17,24,0
386893,58082.15,40380.7,53155.41,111011.29,41784444,97,14,39,1
35254,6216.73,4731.91,4565.56,1798.17,5922672,173,15,17,0
227314,27676.92,16153.04,30710.08,23960.08,56373872,160,15,11,0
238214,38346.52,13719.92,14346.25,7156.3,47166372,103,15,23,0
142983,23811.63,10484.85,18320.89,8820.39,36889614,160,19,78,1
134483,18701.82,6953.24,8286.59,29025.63,4706905,1,11,42,0
460986,119170.23,24538.45,49308.86,56554.05,91275228,45,18,31,0
215335,11562.25,28496.83,24721.97,31564.11,32084915,64,21,80,1
402396,92510.6,32868.31,25945.21,25734.81,76455240,196,10,46,0
85396,6712.81,7427.13,9132.19,18018.49,2561880,135,21,44,0
477595,111487.82,24669.43,26134.69,110050.33,82146340,166,26,34,0
71795,13760.21,5337.74,5484.7,5076.72,5743600,70,9,76,1
220186,53715.25,26956.35,29263.66,7177.66,20036926,181,24,8,0
363333,26315.59,38293.19,23782.25,15501.06,59586612,75,3,9,0
273755,48883.21,32259.36,15295.87,55838.58,15330280,73,1,64,1
300148,49599.52,27088.13,26992.62,17391.47,60930044,158,21,58,0
133374,28331.9,10386.58,16879.23,21112.74,31076142,150,11,56,0
8655,1496.34,808.83,492.47,543.01,2129130,186,16,88,1
467372,81495.17,36958.09,38323.65,31613.72,135070508,73,3,85,1
302028,44943.9,37906.75,39559.55,6409.32,5738532,55,21,9,1
375205,45411.78,28812.23,22750.18,41209.06,60408005,46,9,89,1
47754,7684.61,5223.27,3722.91,2155.77,5396202,97,11,18,0
284562,21983.34,17736.29,34163.9,37081.03,37846746,154,17,49,0
86481,23449.16,9670.13,8552.02,16204.78,16777314,192,1,67,1
454429,97390.71,60074.14,56762.72,55853.39,135874271,137,9,4,0
30806,8288.89,3227.62,1849.7,6697.93,1540300,15,3,28,0
148218,15140.07,14879.16,19690.74,33735.38,2964360,147,28,4,0
309487,78067.61,42245.17,41515.22,66555.11,70253549,144,10,59,0
121475,28670.74,12932.92,7771.75,34289.94,1214750,25,5,64,1
359245,73912.88,26354.05,19057.51,31054.0,64664100,99,25,27,0
484451,93865.63,36970.97,67380.22,35388.08,140975241,179,11,82,1
108012,13264.57,12256.94,10088.61,20599.96,6696744,77,5,0,0
147943,35177.07,17189.39,15014.26,27601.07,19824362,174,12,28,0
471087,77893.56,36421.93,49667.37,76705.93,86680008,7,14,50,0
374116,24805.78,30333.68,45294.28,7938.33,102507784,34,12,35,0
133621,16296.22,18599.39,16445.93,23446.04,36612154,58,19,31,0
163188,43264.13,9656.77,11007.56,45885.77,33943104,78,9,63,1
366371,90001.4,31661.07,26121.27,41649.7,97088315,23,28,13,0
375537,103587.49,20887.47,48412.34,109254.14,67972197,151,7,31,1
283576,55138.09,35134.23,35094.4,33998.46,19283168,145,16,8,0
118296,12649.07,6897.97,12490.37,6998.3,13604040,141,28,82,1
292499,25578.3,32368.13,40810.32,38479.11,39194866,122,28,10,0
193006,17947.69,10631.45,22420.84,30589.75,4825150,27,7,47,0
466410,25444.07,51564.87,32380.66,91532.98,21921270,66,14,50,0
174588,24417.33,21975.97,22032.65,28172.55,43996176,101,8,3,0
270044,25391.8,23195.14,23581.85,45983.42,59139636,158,27,40,0
380502,55051.32,36905.42,20263.15,10174.16,111867588,132,21,24,0
174214,46175.2,15006.58,13750.35,15855.85,30835878,94,18,16,0
15651,2332.38,1205.82,1858.08,1674.58,4272723,67,27,46,0
445123,112142.7,54435.74,60723.04,131927.69,47628161,142,25,7,1
67190,12716.79,5004.33,5029.32,6904.37,9608170,11,3,57,0
4999,534.09,575.21,360.86,1354.94,949810,40,27,0,1
6795,895.9,465.85,684.43,715.69,1569645,131,2,1,0
383529,26579.13,27800.81,47193.84,17991.69,60597582,1,26,9,0
388715,49248.79,31206.63,45552.47,34725.03,98344895,9,26,26,0
321684,66213.64,33141.2,32295.88,31007.75,27343140,112,5,12,0
274827,18299.51,24981.23,29358.41,80774.3,74478117,73,8,62,1
423015,41134.96,49519.42,30367.78,88326.22,101523600,124,19,10,0
144446,19894.76,9998.7,12845.83,40570.65,28889200,76,22,13,1
378980,104549.74,19313.01,27659.06,96184.6,54194140,129,9,79,1
33211,7655.74,3981.67,4304.07,6044.65,8668071,144,2,25,0
268183,58652.15,33240.86,16125.82,56079.38,68118482,94,15,68,1
184923,14188.02,10236.08,20559.12,36051.56,50668902,72,8,82,1
454983,104477.32,47764.88,33407.35,93978.4,5914779,46,10,38,1
